"기준날짜","카메라코드","카메라명칭","설명","계수시작시간","계수끝시간","진입계수","진출계수","주간 진입계수","주간 진출계수","월간 진입계수","월간 진출계수","데이터입력시간"
"20191012","1","율곡로3길 50","덕성여고 앞","2019-10-12 23:40:36.845","2019-10-12 23:50:36.816","10930","12491","57811","53249","119997","114349","2019-10-12 23:50:36.816"
"20191011","4","북촌로5가길 38","삼청파출소 사잇길","2019-10-11 23:40:38.601","2019-10-11 23:50:38.604","5253","6195","24674","29280","61297","74214","2019-10-11 23:50:38.604"
"20191011","3","북촌로11길 1","돈미약국 앞","2019-10-11 23:40:38.601","2019-10-11 23:50:38.597","8729","7661","37020","32778","93619","82985","2019-10-11 23:50:38.597"
"20191011","2","계동길 69","계동교회 앞","2019-10-11 23:40:38.601","2019-10-11 23:50:38.581","15143","17359","89084","99470","200029","221137","2019-10-11 23:50:38.581"
"20191011","1","율곡로3길 50","덕성여고 앞","2019-10-11 23:40:38.601","2019-10-11 23:50:38.6","10225","8986","46881","40758","109067","101858","2019-10-11 23:50:38.6"
"20191010","4","북촌로5가길 38","삼청파출소 사잇길","2019-10-10 23:40:38.55","2019-10-10 23:50:38.619","4426","5119","19421","23085","56044","68019","2019-10-10 23:50:38.619"
"20191010","3","북촌로11길 1","돈미약국 앞","2019-10-10 23:40:38.55","2019-10-10 23:50:38.623","6949","6158","28291","25117","84890","75324","2019-10-10 23:50:38.623"
"20191010","2","계동길 69","계동교회 앞","2019-10-10 23:40:38.55","2019-10-10 23:50:38.614","14283","16959","73941","82111","184886","203778","2019-10-10 23:50:38.614"
"20191010","1","율곡로3길 50","덕성여고 앞","2019-10-10 23:40:38.55","2019-10-10 23:50:38.626","7785","6513","36656","31772","98842","92872","2019-10-10 23:50:38.626"
"20191009","4","북촌로5가길 38","삼청파출소 사잇길","2019-10-09 23:40:36.562","2019-10-09 23:50:36.582","7159","8694","","","","","2019-10-09 23:50:36.582"
"20191009","3","북촌로11길 1","돈미약국 앞","2019-10-09 23:40:36.562","2019-10-09 23:50:36.575","9408","8114","21342","18959","77941","69166","2019-10-09 23:50:36.575"
"20191009","2","계동길 69","계동교회 앞","2019-10-09 23:40:36.562","2019-10-09 23:50:36.568","14069","16078","59658","65152","170603","186819","2019-10-09 23:50:36.568"
"20191009","1","율곡로3길 50","덕성여고 앞","2019-10-09 23:40:36.562","2019-10-09 23:50:36.578","11744","11063","28871","25259","91057","86359","2019-10-09 23:50:36.578"
"20191008","4","북촌로5가길 38","삼청파출소 사잇길","2019-10-08 23:40:36.33","2019-10-08 23:50:36.29","4636","5772","7836","9272","44459","54206","2019-10-08 23:50:36.29"
"20191008","3","북촌로11길 1","돈미약국 앞","2019-10-08 23:40:36.33","2019-10-08 23:50:36.283","7479","6623","11934","10845","68533","61052","2019-10-08 23:50:36.283"
"20191008","2","계동길 69","계동교회 앞","2019-10-08 23:40:36.33","2019-10-08 23:50:36.271","19884","22610","45589","49074","156534","170741","2019-10-08 23:50:36.271"
"20191008","1","율곡로3길 50","덕성여고 앞","2019-10-08 23:40:36.33","2019-10-08 23:50:36.287","9948","8100","17127","14196","79313","75296","2019-10-08 23:50:36.287"
"20191007","4","북촌로5가길 38","삼청파출소 사잇길","2019-10-07 23:40:37.489","2019-10-07 23:50:37.465","3200","3500","3200","3500","39823","48434","2019-10-07 23:50:37.465"
"20191007","3","북촌로11길 1","돈미약국 앞","2019-10-07 23:40:37.489","2019-10-07 23:50:37.499","4455","4222","4455","4222","61054","54429","2019-10-07 23:50:37.499"
"20191007","2","계동길 69","계동교회 앞","2019-10-07 23:40:37.489","2019-10-07 23:50:37.504","25705","26464","25705","26464","136650","148131","2019-10-07 23:50:37.504"
"20191007","1","율곡로3길 50","덕성여고 앞","2019-10-07 23:40:37.489","2019-10-07 23:50:37.496","7179","6096","7179","6096","69365","67196","2019-10-07 23:50:37.496"
"20191006","4","북촌로5가길 38","삼청파출소 사잇길","2019-10-06 23:40:37.894","2019-10-06 23:50:37.801","6955","8475","40943","50155","36623","44934","2019-10-06 23:50:37.801"
"20191006","3","북촌로11길 1","돈미약국 앞","2019-10-06 23:40:37.894","2019-10-06 23:50:37.826","8753","7664","63915","57259","56599","50207","2019-10-06 23:50:37.826"
"20191006","2","계동길 69","계동교회 앞","2019-10-06 23:40:37.894","2019-10-06 23:50:37.819","14692","15512","126363","138583","110945","121667","2019-10-06 23:50:37.819"
"20191006","1","율곡로3길 50","덕성여고 앞","2019-10-06 23:40:37.894","2019-10-06 23:50:37.823","10362","11455","70764","68578","62186","61100","2019-10-06 23:50:37.823"
"20191005","4","북촌로5가길 38","삼청파출소 사잇길","2019-10-05 23:40:37.841","2019-10-05 23:50:38.141","7391","9023","33988","41680","29668","36459","2019-10-05 23:50:38.141"
"20191005","3","북촌로11길 1","돈미약국 앞","2019-10-05 23:40:37.841","2019-10-05 23:50:38.144","11239","9704","55162","49595","47846","42543","2019-10-05 23:50:38.144"
"20191005","2","계동길 69","계동교회 앞","2019-10-05 23:40:37.841","2019-10-05 23:50:38.131","20626","22188","111671","123071","96253","106155","2019-10-05 23:50:38.131"
"20191005","1","율곡로3길 50","덕성여고 앞","2019-10-05 23:40:37.841","2019-10-05 23:50:38.147","10669","12191","60402","57123","51824","49645","2019-10-05 23:50:38.147"
"20191004","4","북촌로5가길 38","삼청파출소 사잇길","2019-10-04 23:40:38.333","2019-10-04 23:50:38.323","6852","8203","26597","32657","22277","27436","2019-10-04 23:50:38.323"
"20191004","3","북촌로11길 1","돈미약국 앞","2019-10-04 23:40:38.333","2019-10-04 23:50:38.321","11299","10323","43923","39891","36607","32839","2019-10-04 23:50:38.321"
"20191004","2","계동길 69","계동교회 앞","2019-10-04 23:40:38.333","2019-10-04 23:50:38.303","15419","17783","91045","100883","75627","83967","2019-10-04 23:50:38.303"
"20191004","1","율곡로3길 50","덕성여고 앞","2019-10-04 23:40:38.333","2019-10-04 23:50:38.318","12680","11423","49733","44932","41155","37454","2019-10-04 23:50:38.318"
"20191003","4","북촌로5가길 38","삼청파출소 사잇길","2019-10-03 23:40:38.565","2019-10-03 23:50:38.633","6906","8825","19745","24454","15425","19233","2019-10-03 23:50:38.633"
"20191003","3","북촌로11길 1","돈미약국 앞","2019-10-03 23:40:38.565","2019-10-03 23:50:38.637","10019","8431","32624","29568","25308","22516","2019-10-03 23:50:38.637"
"20191003","2","계동길 69","계동교회 앞","2019-10-03 23:40:38.565","2019-10-03 23:50:38.624","19520","21114","75626","83100","60208","66184","2019-10-03 23:50:38.624"
"20191003","1","율곡로3길 50","덕성여고 앞","2019-10-03 23:40:38.565","2019-10-03 23:50:38.641","10848","11213","37053","33509","28475","26031","2019-10-03 23:50:38.641"
"20191002","4","북촌로5가길 38","삼청파출소 사잇길","2019-10-02 23:40:36.729","2019-10-02 23:50:36.67","4386","5239","12839","15629","8519","10408","2019-10-02 23:50:36.67"
"20191002","3","북촌로11길 1","돈미약국 앞","2019-10-02 23:40:36.729","2019-10-02 23:50:36.659","8071","7656","22605","21137","15289","14085","2019-10-02 23:50:36.659"
"20191002","2","계동길 69","계동교회 앞","2019-10-02 23:40:36.729","2019-10-02 23:50:36.678","24859","27194","56106","61986","40688","45070","2019-10-02 23:50:36.678"
"20191002","1","율곡로3길 50","덕성여고 앞","2019-10-02 23:40:36.729","2019-10-02 23:50:36.674","7763","6873","26205","22296","17627","14818","2019-10-02 23:50:36.674"
"20191001","4","북촌로5가길 38","삼청파출소 사잇길","2019-10-01 23:40:37.898","2019-10-01 23:50:37.807","4133","5169","8453","10390","4133","5169","2019-10-01 23:50:37.807"
"20191001","3","북촌로11길 1","돈미약국 앞","2019-10-01 23:40:37.898","2019-10-01 23:50:37.814","7218","6429","14534","13481","7218","6429","2019-10-01 23:50:37.814"
"20191001","2","계동길 69","계동교회 앞","2019-10-01 23:40:37.898","2019-10-01 23:50:37.802","15829","17876","31247","34792","15829","17876","2019-10-01 23:50:37.802"
"20191001","1","율곡로3길 50","덕성여고 앞","2019-10-01 23:40:37.898","2019-10-01 23:50:37.811","9864","7945","18442","15423","9864","7945","2019-10-01 23:50:37.811"
"20190930","4","북촌로5가길 38","삼청파출소 사잇길","2019-09-30 23:40:38.121","2019-09-30 23:50:38.016","4320","5221","","","","","2019-09-30 23:50:38.016"
"20190930","3","북촌로11길 1","돈미약국 앞","2019-09-30 23:40:38.121","2019-09-30 23:50:38.022","7316","7052","","","","","2019-09-30 23:50:38.022"
